Step,Degree Hub (Node 107),Betweenness Broker (Node 107),Closeness Hub (Node 107),Eigenvector Hub (Node 1912),Random Node (Node 4010)
0,1.0,1.0,1.0,1.0,1.0
1,85.88,85.58,82.3,60.68,1.1
2,402.18,404.02,400.66,339.98,1.54
3,872.1,893.42,903.42,630.72,2.54
4,1255.88,1320.46,1361.4,805.44,3.44
5,1739.9,1829.42,1875.78,1107.78,4.84
6,2313.58,2390.06,2396.14,1513.34,6.62
7,2785.84,2844.6,2807.12,1925.6,10.02
8,3106.98,3140.42,3107.2,2341.02,17.48
9,3325.66,3348.4,3326.2,2706.7,31.04
10,3485.74,3498.28,3486.08,2995.1,48.54
11,3596.98,3607.76,3604.8,3202.74,78.62
12,3679.56,3684.32,3693.04,3363.9,112.6
13,3745.74,3742.96,3765.36,3493.18,158.82
14,3799.56,3792.02,3822.58,3595.64,214.24
15,3843.22,3834.92,3865.42,3675.08,268.84
16,3879.1,3870.48,3897.96,3739.98,334.88
17,3908.62,3900.98,3921.46,3792.36,416.18
18,3932.44,3925.68,3939.94,3833.06,494.7
19,3951.14,3945.16,3955.6,3867.38,578.9
20,3967.04,3961.76,3970.2,3899.36,673.14
